Company_Name,Customer_Name_Business,Customer_Name_Business_Sole_Trader,UK_Taxpayer_Reference_UTR_Number
Smith-Kent,Leonard and Sons,Amanda Barker,223147708
"Dennis, Turner and Jones",Hughes-Watkins,Martin Thompson,9246159175
"Cooke, Smith and Brown",Rowe-Harding,Katie O'Neill,5660700374
Graham and Sons,"Jackson, Clark and Miller",Mary Byrne,963444573
Riley-Grant,Shepherd Ltd,Jeremy Parkin,1285413297
Miller-Jones,Cook Group,Josh James,4207679392
Kaur-Harris,Stevens Ltd,Carly Morgan,95924950
Dean PLC,Bell-Thompson,Luke Lewis,1738750841
Morris-Williams,Rose-Graham,Debra Gray,3872411963
Fraser LLC,"Williams, Khan and Begum",Kim Bibi,9081035761
"Marsden, Baker and Graham",Evans Group,Julian Duffy,3453375341
Hamilton Group,Page-Chapman,Linda Harris,4232125892
"Cameron, Rice and Hall",Sharp PLC,Geraldine Williams,6246115016
Byrne-Miller,"Foster, Bradley and Gregory",Timothy Burton,5676217058
Oliver-Brennan,Jackson-Williams,Sheila Simpson,9791509721
Wilson-Miles,"Anderson, Stanley and Carr",Jill Charlton,7640023494
McCarthy and Sons,Anderson Ltd,Antony Barber,9606810501
Green-Bruce,"Jones, Lawson and Gray",Michelle Goodwin,790043840
Harris PLC,Robinson LLC,Mitchell Byrne,7753798955
"White, Brown and Blake",Watkins-O'Brien,Georgina Burke,5160576490
Williams-Atkinson,"Matthews, Kaur and Parker",Neil Webb,1060712271
Walters-Randall,Moore-Gregory,Beverley Cooper,4620412912
"Stewart, Baldwin and Walker",Jackson and Sons,Brandon Thompson,3886088424
"Boyle, Williams and Williams",Bailey-Williams,Benjamin Richardson,5956395254
Phillips-Edwards,Moore PLC,Garry Begum,8611376907
Webb-Allen,Parry and Sons,Julie Whitehouse,4148815037
Cole-Campbell,Woods LLC,Emily Harrison,2820140969
Archer Inc,"Taylor, Wilson and Smith",Abigail Burton,5738544572
"Murray, Rice and Hill",Griffin and Sons,Declan Parry,4819942948
Carr-Coates,Wilson and Sons,Marilyn Arnold,1867472006
"Johnson, Flynn and Gray",Ball Inc,Barry Clarke,4752637323
Harris-Higgins,"Wright, Evans and Khan",Mitchell Rogers,3144546933
Lambert-Carr,Wilkinson Inc,Clive Doherty,8084982831
Simpson-Franklin,Thomas Inc,Suzanne Connor,1122810152
"Lewis, Ferguson and Randall","Knight, King and Reed",Georgina Taylor,218722160
Charlton LLC,"Jones, Day and Porter",Barbara Barber,7707626160
Begum Group,Morgan-Macdonald,Bradley Fox,1247650509
"Turner, Taylor and King","Harvey, Baker and Gordon",Neil Roberts,2986310356
"Scott, Smith and Hall",Green PLC,Joel Jones,7088627083
"Black, Graham and Hall","O'Brien, Miller and Jackson",Abdul Porter,490619128
Brooks and Sons,"Morgan, Davies and Peacock",Linda Jones,2168556072
Miles-Fraser,Taylor-Smith,Maria Bell,8424617427
